pl_name,hostname,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_eqt,st_teff,st_rad,st_mass
HU Aqr AB c,HU Aqr,Eclipse Timing Variations,4368,5.4,12.9,,5952,,0.88
IC 4651 9122 b,IC 4651 9122,Radial Velocity,734,2.038,12.7,,4740.1,10.267424,2.1
IRAS 04125+2902 b,IRAS 04125+2902,Transit,8.834978,0.077,10.73820351,854,4080,1.45,0.7
ITG 15 b,ITG 15 A,Imaging,,435,12.1,2601,,,
K2-10 b,K2-10,Transit,19.30553,0.137,3.773,649,5533,0.956,0.88
K2-100 b,K2-100,Transit,1.6739035,0.0301,3.88,1841,5945,1.24,1.15
K2-101 b,K2-101,Transit,14.6762429,0.1124,2,618,4927,0.76,0.82
K2-102 b,K2-102,Transit,9.915615,,1.3,,4695,0.71,0.77
K2-104 b,K2-104,Transit,1.9741954,0.0242,1.79,798,3712,0.48,0.51
K2-105 b,K2-105,Transit,8.26726,0.0796,3.4,805,5373,0.905,0.94
K2-107 b,K2-107,Transit,3.313959,0.0475,15.98,1649,6061,1.81,1.3
K2-108 b,K2-108,Transit,4.733999,0.0581,5.33,1360,5599,1.76,1.17
K2-11 b,K2-11,Transit,39.93767,0.2257,7.55,734,5433,5.15,1.35
K2-110 b,K2-110,Transit,13.86375,0.10207,2.592,638,5010,0.713,0.738
K2-111 b,K2-111,Transit,5.3518,0.0565,1.82,1309,5775,1.25,0.84
K2-111 c,K2-111,Radial Velocity,15.6805,0.11569,3.33,,5775,1.25,0.84
K2-113 b,K2-113,Transit,5.817685,0.0642,12.14,1098,5660,1.24,1.04
K2-114 b,K2-114,Transit,11.390931,0.0944,10.59248676,701.4,4899,0.832,0.863
K2-115 b,K2-115,Transit,20.2729914,0.1415,11.80305668,696,5870,0.855,0.918
K2-116 b,K2-116,Transit,4.655411,0.048,0.69,,4348.35,0.6694,0.694512
K2-117 b,K2-117,Transit,1.2916,0.0189,2.03,868,3778,0.51,0.54
K2-117 c,K2-117,Transit,5.444017,0.0492,2.06,537,3778,0.51,0.54
K2-118 b,K2-118,Transit,50.92092,0.245,2.54,,4726.29,0.734626,0.756446
K2-119 b,K2-119,Transit,7.727283,0.0698,2.53,666,4740,0.71,0.76
K2-12 b,K2-12,Transit,8.28246,0.0792,2.44,1026,5672,1.117,0.965
K2-121 b,K2-121,Transit,5.185738,0.0525,7.16,716,4526,0.675,0.71
K2-122 b,K2-122,Transit,2.2193023,0.0373,1.16,769,4009,0.59,0.63
K2-123 b,K2-123,Transit,30.951524,0.1649,2.76,338,4035,0.59,0.62
K2-124 b,K2-124,Transit,6.413651,0.049,2.9,442,3570,0.388,0.39
K2-125 b,K2-125,Transit,21.750264,0.121,2.18,,3654.47,0.402049,0.494727
K2-126 b,K2-126,Transit,7.385655,0.0656,1.97,601,4339,0.65,0.69
K2-127 b,K2-127,Transit,3.588163,0.0411,8.37,809,4575,0.66,0.72
K2-128 b,K2-128,Transit,5.675819,0.056,1.42,,4469.51,0.777569,0.711248
K2-129 b,K2-129,Transit,8.239493,0.057,1.04,,3459.09,0.36001,0.360031
K2-13 b,K2-13,Transit,39.91488,0.2114,1.89,511,5698,0.78,0.8
K2-130 b,K2-130,Transit,2.49412,0.032,1.25,,4356.47,0.744261,0.69563
K2-131 b,K2-131,Transit,0.3693038,0.00936,1.69,2223,5120,0.7595,0.803
K2-132 b,K2-132,Transit,9.1751,0.0916,14.5717,1586,4840,3.85,1.08
K2-133 b,K2-133,Transit,3.07133,0.03194,1.34,,3655,0.455,0.461
K2-133 c,K2-133,Transit,4.86784,0.04341,1.603,,3655,0.455,0.461
K2-133 d,K2-133,Transit,11.02454,0.07487,2.003,734,3655,0.455,0.461
K2-133 e,K2-133,Transit,26.5841,0.1346,1.73,296,3655,0.455,0.461
K2-136 b,K2-136,Transit,7.9752,0.0707,1.014,610,4500,0.677,0.742
K2-136 c,K2-136,Transit,17.30713,0.1185,3,470,4500,0.677,0.742
K2-136 d,K2-136,Transit,25.575,0.1538,1.565,420,4500,0.677,0.742
K2-137 b,K2-137,Transit,0.179719,0.0058,0.64,1471,3697,0.29,0.463
K2-138 b,K2-138,Transit,2.35309,0.03385,1.51,1157,5356.3,0.863,0.935
K2-138 c,K2-138,Transit,3.56004,0.04461,2.299,1012,5356.3,0.863,0.935
K2-138 d,K2-138,Transit,5.40479,0.05893,2.39,888,5356.3,0.863,0.935
K2-138 e,K2-138,Transit,8.26146,0.0782,3.39,757,5356.3,0.863,0.935
K2-138 f,K2-138,Transit,12.75758,0.10447,2.904,653,5356.3,0.863,0.935
K2-138 g,K2-138,Transit,41.96797,0.23109,3.013,445,5356.3,0.863,0.935
K2-139 b,K2-139,Transit,28.380619,0.1796,9.11,524,5370,0.88,0.96
K2-14 b,K2-14,Transit,8.36802,0.0627,4.81,488,3789,0.45,0.47
K2-140 b,K2-140,Transit,6.569188,0.068,13.56286665,962,5585,1.06,0.96
K2-141 b,K2-141,Transit,0.2803244,0.00747,1.51,2103,4570,0.681,0.708
K2-141 c,K2-141,Transit,7.7485,0.0683,7,695,4570,0.681,0.708
K2-146 b,K2-146,Transit,2.6446,0.0248,2.05,534,3385,0.33,0.331
K2-146 c,K2-146,Transit,4.00498,0.0327,2.19,,3385,0.33,0.331
K2-147 b,K2-147,Transit,0.961939,0.01575,1.47286006,1077,3690,0.578,0.563
K2-148 b,K2-148,Transit,4.38395,0.0454,1.33,,4079,0.632,0.65
K2-148 c,K2-148,Transit,6.9226,0.0616,1.73,,4079,0.632,0.65
K2-148 d,K2-148,Transit,9.7579,0.0774,1.64,,4079,0.632,0.65
K2-149 b,K2-149,Transit,11.332,0.083,1.64,,3745,0.568,0.595
K2-15 b,K2-15,Transit,11.8104,0.091,2.48,676,5131,0.68,0.72
K2-150 b,K2-150,Transit,10.59357,0.0727,2,,3499,0.436,0.457
K2-151 b,K2-151,Transit,3.835476,0.0373,1.49,566,3695,0.45,0.47
K2-152 b,K2-152,Transit,32.6479,0.1716,2.29,337,4044,0.61,0.63
K2-153 b,K2-153,Transit,7.51574,0.0614,2,497,3845,0.53,0.55
K2-154 b,K2-154,Transit,3.67626,0.0405,1.99,715,4097,0.63,0.65
K2-154 c,K2-154,Transit,7.95486,0.0677,2.07,552,4097,0.63,0.65
K2-155 b,K2-155,Transit,6.342,0.0562,1.8,708,4258,0.58,0.65
